variable,filename,skewness,kurtosis
V68,arrhythmia,0.036982751,17.24651743
V710,arrhythmia,-0.283865646,5.497244223
V84,arrhythmia,1.704676211,7.235779307
V910,arrhythmia,-0.165174456,7.959373852
V1010,arrhythmia,-0.812612893,4.885109727
V165,arrhythmia,2.514108351,13.6472527
V1710,arrhythmia,1.93694813,10.08287719
V1810,arrhythmia,0.414701522,2.118033978
V1910,arrhythmia,12.00160169,156.3128855
V2110,arrhythmia,1.547246322,10.16927196
V2210,arrhythmia,21.18967242,450.0022173
V2310,arrhythmia,9.349394937,88.41118568
V2410,arrhythmia,9.349394937,88.41118568
V2510,arrhythmia,14.93333333,224.0044444
V2610,arrhythmia,14.93333333,224.0044444
V275,arrhythmia,10.48851413,111.0089286
V281,arrhythmia,2.263261153,9.755489996
V291,arrhythmia,0.923926128,4.947324767
V301,arrhythmia,0.544465298,2.321453975
V311,arrhythmia,7.904880789,70.4605539
V321,arrhythmia,19.99756429,412.1565237
V331,arrhythmia,0.698477389,4.512363866
V341,arrhythmia,7.315601002,54.51801802
V351,arrhythmia,5.639046331,32.79884353
V361,arrhythmia,21.18967242,450.0022173
V37,arrhythmia,14.93333333,224.0044444
V38,arrhythmia,14.93333333,224.0044444
V39,arrhythmia,7.847748652,62.58715891
V40,arrhythmia,1.340642972,4.142286818
V411,arrhythmia,0.100688947,2.720255598
V421,arrhythmia,0.949561403,3.008115929
V43,arrhythmia,4.497563068,23.57340309
V44,arrhythmia,10.50995958,120.6207129
V45,arrhythmia,0.204755386,2.60555583
V46,arrhythmia,21.18967242,450.0022173
V47,arrhythmia,5.028587997,26.28669725
V48,arrhythmia,21.18967242,450.0022173
V49,arrhythmia,7.315601002,54.51801802
V50,arrhythmia,9.349394937,88.41118568
V511,arrhythmia,14.93333333,224.0044444
V521,arrhythmia,-0.172220835,3.829666011
V53,arrhythmia,0.397051767,2.389212715
V54,arrhythmia,2.150462016,6.260582036
V55,arrhythmia,4.080702464,21.11257034
V56,arrhythmia,21.18967242,450.0022173
V57,arrhythmia,0.043105742,1.417237317
V58,arrhythmia,9.349394937,88.41118568
V59,arrhythmia,14.93333333,224.0044444
V60,arrhythmia,14.93333333,224.0044444
V611,arrhythmia,14.93333333,224.0044444
V621,arrhythmia,14.93333333,224.0044444
V63,arrhythmia,10.48851413,111.0089286
V64,arrhythmia,1.865954807,6.324860317
V65,arrhythmia,0.611807161,4.801768017
V66,arrhythmia,0.70826416,2.322345618
V67,arrhythmia,6.496339034,44.48436626
V69,arrhythmia,0.73678034,4.721148691
V711,arrhythmia,7.315601002,54.51801802
V721,arrhythmia,21.18967242,450.0022173
V73,arrhythmia,21.18967242,450.0022173
V74,arrhythmia,12.15209234,148.6733482
V75,arrhythmia,21.18967242,450.0022173
V76,arrhythmia,2.476702643,9.774690047
V77,arrhythmia,0.024753698,3.433344468
V78,arrhythmia,0.888726006,3.203813233
V79,arrhythmia,6.626116797,48.55106498
V80,arrhythmia,13.21156662,183.5066263
V811,arrhythmia,0.316259615,3.864983165
V821,arrhythmia,14.93333333,224.0044444
V83,arrhythmia,6.173803722,39.1158524
V85,arrhythmia,21.18967242,450.0022173
V86,arrhythmia,21.18967242,450.0022173
V87,arrhythmia,21.18967242,450.0022173
V88,arrhythmia,1.97044381,5.94966813
V89,arrhythmia,3.746207424,45.25598682
V90,arrhythmia,-0.687313711,2.724843501
V911,arrhythmia,3.384243378,14.6146451
V921,arrhythmia,15.29489187,256.3577692
V93,arrhythmia,2.244910207,8.431836405
V94,arrhythmia,12.15209234,148.6733482
V95,arrhythmia,7.847748652,62.58715891
V96,arrhythmia,10.48851413,111.0089286
V97,arrhythmia,10.48851413,111.0089286
V98,arrhythmia,9.349394937,88.41118568
V99,arrhythmia,6.497893846,43.22262443
V100,arrhythmia,3.389393411,13.88235601
V1011,arrhythmia,3.217334859,40.45684192
V1021,arrhythmia,-0.76635305,5.002751302
V103,arrhythmia,4.778585976,28.09740045
V104,arrhythmia,13.27406888,182.2201728
V105,arrhythmia,1.844677206,10.23205507
V106,arrhythmia,10.48851413,111.0089286
V107,arrhythmia,10.48851413,111.0089286
V108,arrhythmia,8.505691403,73.34678625
V109,arrhythmia,10.48851413,111.0089286
V1101,arrhythmia,10.48851413,111.0089286
V1111,arrhythmia,7.315601002,54.51801802
V1121,arrhythmia,4.433147752,21.42748868
V1131,arrhythmia,-0.330415716,9.528535449
V114,arrhythmia,0.291418901,6.287928447
V115,arrhythmia,11.23108167,138.4265106
V116,arrhythmia,15.78078804,257.5018854
V117,arrhythmia,0.15764005,7.428220504
V118,arrhythmia,6.173803722,39.1158524
V119,arrhythmia,14.93333333,224.0044444
V120,arrhythmia,12.15209234,148.6733482
V1211,arrhythmia,10.48851413,111.0089286
V1221,arrhythmia,12.15209234,148.6733482
V123,arrhythmia,9.349394937,88.41118568
V124,arrhythmia,5.064551222,32.60008411
V125,arrhythmia,-0.621662742,10.07795143
V126,arrhythmia,0.535037647,6.384092332
V127,arrhythmia,5.975718187,38.93625434
V128,arrhythmia,18.02406249,342.6603034
V129,arrhythmia,-0.490237332,6.774101834
V130,arrhythmia,14.93333333,224.0044444
V1311,arrhythmia,8.505691403,73.34678625
V134,arrhythmia,14.93333333,224.0044444
V135,arrhythmia,7.315601002,54.51801802
V136,arrhythmia,3.293261404,19.97789694
V137,arrhythmia,2.613868206,20.38401214
V138,arrhythmia,-0.210842084,4.6115781
V139,arrhythmia,15.17073452,263.4791276
V1411,arrhythmia,3.268843164,27.48389629
V143,arrhythmia,12.15209234,148.6733482
V145,arrhythmia,21.18967242,450.0022173
V147,arrhythmia,12.15209234,148.6733482
V148,arrhythmia,2.000585545,10.19142466
V149,arrhythmia,2.466935419,15.06991423
V150,arrhythmia,0.0176811,2.109837129
V1511,arrhythmia,12.68145482,166.4431986
V153,arrhythmia,1.810106987,11.62368125
V154,arrhythmia,21.18967242,450.0022173
V155,arrhythmia,21.18967242,450.0022173
V156,arrhythmia,14.93333333,224.0044444
V159,arrhythmia,9.349394937,88.41118568
V160,arrhythmia,-6.541221732,89.53361327
V1611,arrhythmia,-2.794821368,12.73189343
V162,arrhythmia,1.099657419,5.420797089
V163,arrhythmia,-3.366998557,22.19183612
V164,arrhythmia,18.04820243,352.669222
V166,arrhythmia,-0.899485351,7.5622093
V167,arrhythmia,-1.69223218,11.7506762
V168,arrhythmia,3.142696103,32.06391706
V169,arrhythmia,0.275498183,4.912966703
V170,arrhythmia,-0.960966626,9.799178951
V1711,arrhythmia,-2.774161758,11.28167454
V172,arrhythmia,0.744291315,3.676365416
V173,arrhythmia,-2.65406457,16.00410638
V174,arrhythmia,14.19293761,241.0084786
V175,arrhythmia,-15.20760884,234.9175996
V176,arrhythmia,-0.660344373,5.642336603
V177,arrhythmia,-0.213360412,5.495674475
V178,arrhythmia,0.21901936,4.103025509
V179,arrhythmia,0.380025447,3.521016807
V180,arrhythmia,2.086239959,19.65402429
V1811,arrhythmia,-3.323856158,18.46090432
V182,arrhythmia,1.815833061,7.602816177
V183,arrhythmia,-2.133530253,7.720965405
V184,arrhythmia,11.6878485,180.8275509
V185,arrhythmia,-10.27504028,111.7782128
V186,arrhythmia,-0.987103583,6.214092476
V187,arrhythmia,0.456571399,9.850854648
V188,arrhythmia,-0.204626089,4.631895546
V189,arrhythmia,0.447212485,4.606267931
V190,arrhythmia,3.998323844,48.36533121
V1911,arrhythmia,0.149492843,2.977300465
V192,arrhythmia,3.829372855,29.96421027
V193,arrhythmia,-2.343589681,7.295539634
V194,arrhythmia,4.510378307,24.47733507
V195,arrhythmia,-21.18967242,450.0022173
V196,arrhythmia,0.674752511,5.767859449
V197,arrhythmia,1.125470898,7.468039778
V198,arrhythmia,-1.468634917,11.08531494
V199,arrhythmia,-0.544554462,4.575682043
V200,arrhythmia,-4.678594899,64.36343536
V2011,arrhythmia,-3.892009019,23.67624534
V202,arrhythmia,1.222028654,4.52815243
V203,arrhythmia,-2.793595556,13.68074312
V204,arrhythmia,7.924310443,72.37414512
V206,arrhythmia,0.327385632,3.346879563
V207,arrhythmia,-1.035867001,10.4444318
V208,arrhythmia,1.530787904,13.92326953
V209,arrhythmia,0.058100544,3.642441115
V2101,arrhythmia,0.079091092,6.417239374
V2111,arrhythmia,-3.652476043,18.1015579
V212,arrhythmia,1.141128894,4.75955523
V213,arrhythmia,-2.543554291,11.91830366
V214,arrhythmia,15.3607154,268.9939206
V215,arrhythmia,-14.94490564,232.478294
V216,arrhythmia,-0.613637104,6.017750544
V217,arrhythmia,0.473752468,9.927558229
V218,arrhythmia,0.004158485,4.17872724
V219,arrhythmia,0.327036516,3.604253896
V220,arrhythmia,7.733240037,118.7885264
V2211,arrhythmia,-2.58479259,9.759382595
V222,arrhythmia,6.220003347,61.23048196
V223,arrhythmia,-1.015288084,6.753707914
V224,arrhythmia,8.032929168,81.59869936
V225,arrhythmia,-19.25690384,389.1582086
V226,arrhythmia,-0.347627387,4.917288604
V227,arrhythmia,2.251144918,20.32198629
V228,arrhythmia,2.343702553,61.48144788
V229,arrhythmia,4.175235504,57.08361548
V230,arrhythmia,2.474281896,18.08044848
V231,arrhythmia,-5.210377727,32.8160351
V232,arrhythmia,2.214050097,12.26608305
V233,arrhythmia,-1.432611301,8.018098249
V234,arrhythmia,9.77407845,128.4447194
V235,arrhythmia,-15.6822026,266.0252179
V236,arrhythmia,0.121011509,8.029573854
V237,arrhythmia,0.274449579,6.26018182
V238,arrhythmia,-1.825330369,16.32495794
V239,arrhythmia,0.194193829,5.22789176
V240,arrhythmia,3.47745535,29.98011151
V241,arrhythmia,-6.228572996,45.19163139
V242,arrhythmia,1.063607817,4.331577511
V243,arrhythmia,-1.947838036,9.528483457
V244,arrhythmia,15.11277873,249.5942278
V245,arrhythmia,-20.95249192,442.9350654
V246,arrhythmia,-0.648032574,6.405629452
V247,arrhythmia,-0.012223366,6.62785919
V248,arrhythmia,-1.924582144,15.59172538
V249,arrhythmia,-0.246426043,4.389740899
V250,arrhythmia,3.240285024,27.29095502
V251,arrhythmia,-8.647134115,82.88381028
V252,arrhythmia,0.671881953,3.87057486
V253,arrhythmia,-2.296398249,12.79394854
V254,arrhythmia,9.224572871,108.7626403
V255,arrhythmia,-17.5632388,325.6285751
V256,arrhythmia,-1.274731061,12.40161552
V257,arrhythmia,0.163105238,5.762650841
V258,arrhythmia,-1.186489983,8.230378672
V259,arrhythmia,-0.047415905,5.547933173
V260,arrhythmia,0.150111643,12.71683657
V261,arrhythmia,-9.187214104,110.5244837
V262,arrhythmia,0.603946141,3.769216399
V263,arrhythmia,-2.707502049,21.23385793
V264,arrhythmia,20.47725802,429.005168
V266,arrhythmia,-0.156243286,7.822751863
V267,arrhythmia,-0.160661794,4.48086368
V268,arrhythmia,-0.266880881,5.101217148
V269,arrhythmia,0.29882801,3.949467766
V270,arrhythmia,-2.072305676,22.44488487
V271,arrhythmia,-3.072490628,15.83482013
V272,arrhythmia,0.454775797,3.575176947
V273,arrhythmia,-6.554296783,80.64435171
V274,arrhythmia,13.19704345,184.0568845
V276,arrhythmia,-0.28867994,6.205511131
V277,arrhythmia,-0.645403654,5.136970504
V278,arrhythmia,0.431845108,7.045984733
V279,arrhythmia,0.298457161,4.507738278
V280,arrhythmia,1.482730865,4.05362463
V140,diabetes,0.899911941,3.150382738
V282,diabetes,0.173413955,3.628813334
V312,diabetes,-1.840005231,8.138690663
V412,diabetes,0.109158762,2.475505511
V512,diabetes,2.267810459,10.15957492
V610,diabetes,-0.428143279,6.26125742
V712,diabetes,1.916159204,8.550792048
V810,diabetes,1.12738926,3.631176941
V912,diabetes,0.633775703,1.401671642
V144,spam,5.673788647,52.25019587
V283,spam,10.08352211,108.5313935
V313,spam,3.008267375,16.29298116
V413,spam,26.21919303,728.6610249
V513,spam,4.745578334,40.89864622
V612,spam,5.955010498,71.369596
V713,spam,6.763374581,78.33020649
V812,spam,9.721676786,171.9777956
V913,spam,5.224363015,49.88795633
V1012,spam,8.485042107,164.0381948
V1110,spam,5.50845356,42.60656505
V1210,spam,2.866418696,15.53580788
V1310,spam,6.953280401,87.84823818
V146,spam,11.75081292,231.9509655
V157,spam,6.968767946,60.66365741
V1610,spam,10.76008461,199.2102775
V1712,spam,5.686787342,48.62285213
V1812,spam,5.411988592,50.90826559
V1912,spam,1.59115531,8.250379008
V205,spam,14.59782554,385.5844887
V2112,spam,2.434733083,11.99841439
V2212,spam,9.972188278,112.0224502
V2311,spam,5.711912547,49.75570442
V2411,spam,14.68223942,304.7269538
V2511,spam,5.714979491,46.55495939
V2611,spam,6.34794121,66.82966991
V2710,spam,5.742620327,37.16601279
V284,spam,6.604379902,61.30830218
V292,spam,11.36652445,178.0565597
V302,spam,6.633851581,54.94899454
V314,spam,12.66495043,256.9550093
V322,spam,10.54574465,130.236845
V332,spam,13.18575528,298.7653672
V342,spam,10.47176581,128.8052047
V352,spam,15.22584552,451.8847715
V362,spam,7.67095945,84.11774953
V371,spam,5.321755978,45.57343636
V381,spam,28.25400047,914.0535809
V391,spam,12.0529809,218.4824863
V401,spam,9.14404706,102.2772849
V414,spam,12.58379614,196.4076442
V422,spam,9.452671906,118.5789681
V431,spam,7.626740525,81.4856928
V441,spam,18.76539513,482.3083197
V451,spam,9.143111324,131.7233713
V461,spam,10.11936227,153.7345769
V471,spam,19.86121359,461.9330355
V481,spam,19.71401601,539.9077768
V491,spam,13.70415164,215.8354148
V501,spam,13.57932599,395.9864523
V514,spam,21.07667062,620.8024005
V522,spam,18.65192101,609.794448
V531,spam,11.15950135,202.7351602
V541,spam,31.05193663,1220.168584
V551,spam,23.75417553,672.63912
V561,spam,30.75496178,1482.032192
V571,spam,8.7070106,148.6700821
V581,spam,0.433669949,1.188069625
V1100,isolet5,0.810789261,4.44293935
V2100,isolet5,0.41479839,2.821310774
V3100,isolet5,0.030473673,2.442608151
V4100,isolet5,-0.18142397,2.695958534
V5100,isolet5,-0.48678869,2.372707881
V619,isolet5,-0.148344383,1.67562623
V714,isolet5,0.19407129,1.81097001
V813,isolet5,0.430296938,2.116742065
V914,isolet5,0.569891126,2.342167858
V1013,isolet5,0.665500417,2.639014992
V1112,isolet5,0.623336614,2.685658952
V1212,isolet5,0.466445822,2.58215346
V1312,isolet5,0.294298262,2.330836713
V1410,isolet5,0.126445336,2.114213639
V1510,isolet5,-0.057115247,2.021840842
V1612,isolet5,-0.392416014,2.255154684
V1713,isolet5,-0.662622445,2.720786081
V1813,isolet5,-0.930034188,3.315194887
V1913,isolet5,-1.116800833,3.84646997
V2010,isolet5,-1.226385903,4.255079299
V2113,isolet5,-1.251015327,4.3400629
V2213,isolet5,-1.079525068,3.693557081
V2312,isolet5,-0.974054653,3.412880677
V2412,isolet5,-0.804176179,3.020491341
V2512,isolet5,-0.782967769,3.026902882
V2612,isolet5,-0.832128692,3.283755101
V2711,isolet5,-0.840458977,3.469939967
V2810,isolet5,-0.818374815,3.552488878
V2910,isolet5,-0.795979309,3.48227261
V3010,isolet5,-0.702883725,3.284586135
V3110,isolet5,-0.627049489,2.885078003
V3210,isolet5,-0.469199358,2.425093611
V3310,isolet5,0.506276328,3.435509957
V3410,isolet5,0.437629328,3.213751997
V3510,isolet5,0.130945647,2.612786931
V3610,isolet5,0.007295535,2.439811645
V3710,isolet5,-0.392910591,2.266800773
V3810,isolet5,-0.218686655,1.682731878
V3910,isolet5,0.085809875,1.6621681
V4010,isolet5,0.293015157,1.869521983
V4110,isolet5,0.392659074,2.040608544
V4210,isolet5,0.479311339,2.253561628
V4310,isolet5,0.415784237,2.308711735
V4410,isolet5,0.345854336,2.299696784
V4510,isolet5,0.231519475,2.192399695
V4610,isolet5,0.158159677,2.0739061
V4710,isolet5,-0.008405839,1.934704597
V4810,isolet5,-0.244097037,2.057992679
V4910,isolet5,-0.456012289,2.311171739
V5010,isolet5,-0.696995295,2.836069858
V5110,isolet5,-0.967563901,3.54385273
V5210,isolet5,-0.966164832,3.615668988
V5310,isolet5,-0.99033054,3.583566148
V5410,isolet5,-0.893958097,3.309905391
V5510,isolet5,-0.795568132,2.999168757
V5610,isolet5,-0.733021747,2.862332086
V5710,isolet5,-0.69652939,2.853330367
V5810,isolet5,-0.728019818,3.078697979
V5910,isolet5,-0.738384564,3.172392851
V6010,isolet5,-0.689714366,3.058686789
V6110,isolet5,-0.660919092,3.166124962
V622,isolet5,-0.633467914,3.203602003
V631,isolet5,-0.58479267,2.864714423
V641,isolet5,-0.489440027,2.501015013
V651,isolet5,0.609656159,3.451581763
V661,isolet5,0.400413629,2.951031015
V671,isolet5,0.095649102,2.550748748
V681,isolet5,0.116816323,2.27191592
V691,isolet5,-0.344587422,2.154773427
V70,isolet5,-0.190602106,1.599704677
V715,isolet5,0.07779228,1.52614387
V722,isolet5,0.256113526,1.704265194
V731,isolet5,0.313611116,1.806671455
V741,isolet5,0.381552427,1.921211516
V751,isolet5,0.358979913,1.996111869
V761,isolet5,0.308508045,1.997412191
V771,isolet5,0.224309522,1.960736622
V781,isolet5,0.14771593,1.880553774
V791,isolet5,0.031872559,1.827115099
V801,isolet5,-0.138414983,1.916375596
V814,isolet5,-0.341967376,2.152487567
V822,isolet5,-0.549488546,2.419418652
V831,isolet5,-0.74975135,2.947179543
V841,isolet5,-0.848667944,3.22282743
V851,isolet5,-0.88930067,3.363599906
V861,isolet5,-0.859968074,3.195523596
V871,isolet5,-0.773185599,2.956078488
V881,isolet5,-0.691863101,2.790902417
V891,isolet5,-0.656290078,2.771306696
V901,isolet5,-0.659946522,2.869130479
V915,isolet5,-0.600058587,2.761963527
V922,isolet5,-0.594041967,2.910732443
V931,isolet5,-0.567918568,3.029450652
V941,isolet5,-0.59121079,3.069828592
V951,isolet5,-0.558709013,2.767980618
V961,isolet5,-0.451396978,2.431189045
V971,isolet5,0.842042606,4.397744681
V981,isolet5,0.36200372,2.865471694
V991,isolet5,-0.020084598,2.331689906
V1001,isolet5,0.02952634,2.211020113
V1014,isolet5,-0.266620804,2.08609866
V1022,isolet5,-0.035963679,1.586026402
V1031,isolet5,0.158131821,1.562248623
V1041,isolet5,0.315364068,1.726904429
V1051,isolet5,0.37963682,1.82331632
V1061,isolet5,0.388734855,1.847301437
V1071,isolet5,0.392217704,1.891274236
V1081,isolet5,0.331361263,1.829660722
V1091,isolet5,0.285804855,1.796446781
V1102,isolet5,0.218276175,1.775358147
V1113,isolet5,0.094652954,1.815197313
V1122,isolet5,-0.070006455,1.848402913
V1132,isolet5,-0.243268918,2.026686678
V1141,isolet5,-0.45761328,2.232301485
V1151,isolet5,-0.674009716,2.785491506
V1161,isolet5,-0.831762906,3.17589761
V1171,isolet5,-0.940144984,3.365479308
V1181,isolet5,-0.833639981,3.042768495
V1191,isolet5,-0.721216351,2.701700839
V1201,isolet5,-0.668164627,2.643234431
V1213,isolet5,-0.662348994,2.760872786
V1222,isolet5,-0.678343177,2.869214509
V1231,isolet5,-0.683125668,2.927554674
V1241,isolet5,-0.629830127,2.81311981
V1251,isolet5,-0.570996851,2.809146955
V1261,isolet5,-0.566255343,2.850654556
V1271,isolet5,-0.481789786,2.548655831
V1281,isolet5,-0.418989411,2.386382704
V1291,isolet5,0.935074947,4.527633173
V1301,isolet5,0.23994031,2.685172251
V1313,isolet5,-0.138263966,2.201750854
V1321,isolet5,-0.126219245,2.246120023
V1331,isolet5,-0.223870439,1.994090443
V1341,isolet5,0.133646104,1.616931458
V1351,isolet5,0.310664359,1.661102592
V1361,isolet5,0.370178039,1.763309714
V1371,isolet5,0.411253,1.859696115
V1381,isolet5,0.444425035,1.8947069
V1391,isolet5,0.463386141,1.876660699
V1401,isolet5,0.502749548,1.920204041
V1412,isolet5,0.47882413,1.901451189
V1421,isolet5,0.432331697,1.891583911
V1431,isolet5,0.313661731,1.895375904
V1441,isolet5,0.12904885,1.812960068
V1451,isolet5,-0.077784772,1.864805251
V1461,isolet5,-0.377171657,2.020040335
V1471,isolet5,-0.578993384,2.461324553
V1481,isolet5,-0.710845838,2.743011483
V1491,isolet5,-0.888009071,3.058971489
V1501,isolet5,-0.855399461,2.908343162
V1512,isolet5,-0.748666082,2.653135533
V1521,isolet5,-0.612525026,2.434794694
V1531,isolet5,-0.547581714,2.408989269
V1541,isolet5,-0.53828951,2.445135137
V1551,isolet5,-0.55683525,2.455880827
V1561,isolet5,-0.511324939,2.437045135
V1571,isolet5,-0.517332535,2.536964381
V158,isolet5,-0.483373482,2.581580835
V1591,isolet5,-0.402943765,2.445280941
V1601,isolet5,-0.353276786,2.31107906
V1613,isolet5,0.647337174,3.458984929
V1621,isolet5,0.092642686,2.635125679
V1631,isolet5,-0.320862122,2.354076795
V1641,isolet5,-0.339109457,2.535427617
V1651,isolet5,-0.291634023,2.013572464
V1661,isolet5,0.200421677,1.659935958
V1671,isolet5,0.347565489,1.749550487
V1681,isolet5,0.41327178,1.952295201
V1691,isolet5,0.5297243,2.097312478
V1701,isolet5,0.635070218,2.236299779
V1714,isolet5,0.757422232,2.388830031
V1721,isolet5,0.805494527,2.419379363
V1731,isolet5,0.760715717,2.289997955
V1741,isolet5,0.698191031,2.183728324
V1751,isolet5,0.563554444,2.132846603
V1761,isolet5,0.361041393,1.910997716
V1771,isolet5,0.125602982,1.808336285
V1781,isolet5,-0.142525341,1.780851154
V1791,isolet5,-0.361017741,2.002757715
V1801,isolet5,-0.48907723,2.193757976
V1814,isolet5,-0.638828568,2.389363571
V1821,isolet5,-0.651206175,2.373283836
V1831,isolet5,-0.583845062,2.217100135
V1841,isolet5,-0.447518216,2.06507431
V1851,isolet5,-0.364353635,2.05888028
V1861,isolet5,-0.374854289,2.173928287
V1871,isolet5,-0.404254327,2.246365979
V1881,isolet5,-0.311876917,2.171774185
V1891,isolet5,-0.322441057,2.283762998
V1901,isolet5,-0.241475058,2.33706582
V1914,isolet5,-0.227764862,2.312616738
V1921,isolet5,-0.169189412,2.296416146
V1931,isolet5,0.205155284,2.385875764
V1941,isolet5,-0.183408428,2.296662112
V1951,isolet5,-0.414152382,2.456132489
V1961,isolet5,-0.270636982,2.38561469
V1971,isolet5,0.034539505,1.88934161
V1981,isolet5,0.33553568,1.935509858
V1991,isolet5,0.387981095,2.055730672
V2001,isolet5,0.514004173,2.29909744
V2012,isolet5,0.712532716,2.596972517
V2021,isolet5,0.943638712,3.021068475
V2031,isolet5,1.135155778,3.358912435
V2041,isolet5,1.103473928,3.216607054
V2051,isolet5,0.986641563,2.84951506
V2061,isolet5,0.914605892,2.761610939
V2071,isolet5,0.698601109,2.489916026
V2081,isolet5,0.595369967,2.27993201
V2091,isolet5,0.295099532,1.971331902
V2102,isolet5,0.04923746,1.83410123
V2114,isolet5,-0.170157134,1.872429027
V2121,isolet5,-0.297553297,1.986577166
V2131,isolet5,-0.400731634,2.051668666
V2141,isolet5,-0.412650542,2.040838212
V2151,isolet5,-0.277847129,1.927193244
V2161,isolet5,-0.1226143,1.85876394
V2171,isolet5,-0.084996345,1.881665159
V2181,isolet5,-0.081994904,1.981258697
V2191,isolet5,-0.073508783,2.090889326
V2201,isolet5,-0.016697283,2.240192297
V2214,isolet5,0.063309589,2.371129895
V2221,isolet5,0.146109825,2.461592757
V2231,isolet5,0.059350584,2.478728613
V2241,isolet5,0.042666471,2.419471898
V2251,isolet5,0.348845283,2.919390224
V2261,isolet5,0.108709179,2.385507089
V2271,isolet5,-0.219745797,2.590646824
V2281,isolet5,-0.413371932,3.206640129
V2291,isolet5,-0.298844371,2.394727403
V2301,isolet5,-0.101686946,1.90523232
V2313,isolet5,0.173532469,2.056903702
V2321,isolet5,0.337491693,2.366368404
V2331,isolet5,0.518124478,2.606859659
V2341,isolet5,0.619593683,2.884868261
V2351,isolet5,0.600588326,2.967928182
V2361,isolet5,0.336823424,2.778560835
V2371,isolet5,0.266382156,2.64793008
V2381,isolet5,0.056800403,2.376650544
V2391,isolet5,-0.134190358,2.347098749
V2401,isolet5,-0.279798176,2.36090806
V2413,isolet5,-0.544979604,2.819652692
V2421,isolet5,-0.627336334,2.938466653
V2431,isolet5,-0.900899196,3.538882439
V2441,isolet5,-0.902512402,3.620231184
V2451,isolet5,-0.922345805,3.583480611
V2461,isolet5,-0.817146128,3.086736909
V2471,isolet5,-0.747037202,2.967683848
V2481,isolet5,-0.633726285,2.664774061
V2491,isolet5,-0.565125003,2.564412949
V2501,isolet5,-0.552747249,2.690020817
V2513,isolet5,-0.57885702,2.756388058
V2521,isolet5,-0.598212712,2.924841135
V2531,isolet5,-0.490423814,2.739983126
V2541,isolet5,-0.53635964,3.027927862
V2551,isolet5,-0.449866155,2.833216727
V2561,isolet5,-0.399496989,2.662343903
V2571,isolet5,0.638463226,3.60029004
V2581,isolet5,0.159070564,2.725899881
V2591,isolet5,-0.278708392,3.079188284
V2601,isolet5,-0.289167069,2.791554717
V2613,isolet5,-0.435531839,2.486328384
V2621,isolet5,-0.159655542,1.861448575
